Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relxolly,relxollz,,,,,,,,,,,,,,
102,,-0.6650732,-0.007596254,-2.877552,-0.6619545,-0.007596254,-2.86288,-0.6799903,-0.01248097,-2.858813,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0849268,-0.007596254,-0.027552,0.0880455,-0.007596254,-0.01288,0.0700097,-0.01248097,-0.008813,,0.089606792,,,,,,,,,,,,
27,,-0.706588,-0.01703721,-2.927555,-0.7195783,-0.01703721,-2.935055,-0.7061818,-0.000211,-2.913548,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.043412,-0.01703721,-0.077555,0.0304217,-0.01703721,-0.085055,0.0438182,-0.000211,-0.063548,,0.090496665,,,,,,,,,,,,
23,,-0.8113939,-0.03015381,-2.790592,-0.8007873,-0.03015381,-2.779985,-0.8111746,-0.01821542,-2.791419,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0613939,-0.03015381,0.059408,-0.0507873,-0.03015381,0.070015,-0.0611746,-0.01821542,0.058581,,0.090596764,,,,,,,,,,,,
14,,-0.745456,-0.03015381,-2.764498,-0.7604354,-0.03015381,-2.763712,-0.7425835,-0.01740456,-2.762949,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.004544,-0.03015381,0.085502,-0.0104354,-0.03015381,0.086288,0.0074165,-0.01740456,0.087051,,0.090777157,,,,,,,,,,,,
66,,-0.828037,-0.01703721,-2.894178,-0.8200002,-0.01703721,-2.910656,-0.8195894,-0.01885295,-2.867618,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.078037,-0.01703721,-0.044178,-0.0700002,-0.01703721,-0.060656,-0.0695894,-0.01885295,-0.017618,,0.091278341,,,,,,,,,,,,
119,,-0.668412,-0.007596254,-2.89076,-0.6621417,-0.007596254,-2.873533,-0.6885945,-0.01072407,-2.875396,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.081588,-0.007596254,-0.04076,0.0878583,-0.007596254,-0.023533,0.0614055,-0.01072407,-0.025396,,0.091518754,,,,,,,,,,,,
4,,-0.7947177,-0.03015381,-2.924769,-0.8104324,-0.03015381,-2.915327,-0.7873936,-0.0142169,-2.922546,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0447177,-0.03015381,-0.074769,-0.0604324,-0.03015381,-0.065327,-0.0373936,-0.0142169,-0.072546,,0.092191802,,,,,,,,,,,,
12,,-0.8259381,-0.03015381,-2.893114,-0.8178579,-0.03015381,-2.907691,-0.8226224,-0.03332019,-2.874154,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0759381,-0.03015381,-0.043114,-0.0678579,-0.03015381,-0.057691,-0.0726224,-0.03332019,-0.024154,,0.092383247,,,,,,,,,,,,
64,,-0.7092385,-0.007596254,-2.932575,-0.6930512,-0.007596254,-2.923968,-0.7166452,0.003939629,-2.907652,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0407615,-0.007596254,-0.082575,0.0569488,-0.007596254,-0.073968,0.0333548,0.003939629,-0.057652,,0.092400398,,,,,,,,,,,,
38,,-0.6640208,-0.03015381,-2.865452,-0.6661084,-0.03015381,-2.880306,-0.6578335,-0.01444387,-2.853746,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0859792,-0.03015381,-0.015452,0.0838916,-0.03015381,-0.030306,0.0921665,-0.01444387,-0.003746,,0.092414498,,,,,,,,,,,,
16,,-0.676369,-0.03015381,-2.897378,-0.6860842,-0.03015381,-2.912926,-0.6681329,-0.02509665,-2.881531,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.073631,-0.03015381,-0.047378,0.0639158,-0.03015381,-0.062926,0.0818671,-0.02509665,-0.031531,,0.092603733,,,,,,,,,,,,
69,,-0.7515153,-0.007596254,-2.943218,-0.7365175,-0.007596254,-2.94348,-0.7517216,0.003068924,-2.91602,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0015153,-0.007596254,-0.093218,0.0134825,-0.007596254,-0.09348,-0.0017216,0.003068924,-0.06602,,0.093539268,,,,,,,,,,,,
84,,-0.6907861,-0.01703721,-2.921257,-0.677378,-0.01703721,-2.908754,-0.7004426,0.001344204,-2.897485,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0592139,-0.01703721,-0.071257,0.072622,-0.01703721,-0.058754,0.0495574,0.001344204,-0.047485,,0.094202508,,,,,,,,,,,,
167,,-0.6633874,-0.03015381,-2.871686,-0.6622248,-0.03015381,-2.855059,-0.6604103,-0.0133357,-2.846058,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0866126,-0.03015381,-0.021686,0.0877752,-0.03015381,-0.005059,0.0895897,-0.0133357,0.003942,,0.094240529,,,,,,,,,,,,
174,,-0.6706822,-0.007596254,-2.901603,-0.678139,-0.007596254,-2.918352,-0.6854576,0.008102655,-2.863824,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0793178,-0.007596254,-0.051603,0.071861,-0.007596254,-0.068352,0.0645424,0.008102655,-0.013824,,0.094930954,,,,,,,,,,,,
57,,-0.6815817,-0.03015381,-2.908622,-0.6702945,-0.03015381,-2.894175,-0.6748754,-0.01664114,-2.89229,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0684183,-0.03015381,-0.058622,0.0797055,-0.03015381,-0.044175,0.0751246,-0.01664114,-0.04229,,0.095009762,,,,,,,,,,,,
107,,-0.8325746,-0.03015381,-2.88681,-0.8382399,-0.03015381,-2.869374,-0.8193844,-0.02142048,-2.868577,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0825746,-0.03015381,-0.03681,-0.0882399,-0.03015381,-0.019374,-0.0693844,-0.02142048,-0.018577,,0.095303688,,,,,,,,,,,,
144,,-0.8251919,-0.01703721,-2.906898,-0.8168585,-0.01703721,-2.921332,-0.8370411,-0.02268457,-2.880039,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0751919,-0.01703721,-0.056898,-0.0668585,-0.01703721,-0.071332,-0.0870411,-0.02268457,-0.030039,,0.095819991,,,,,,,,,,,,
105,,-0.7160751,-0.007596254,-2.93968,-0.7007334,-0.007596254,-2.933168,-0.7257667,-0.002902985,-2.907022,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0339249,-0.007596254,-0.08968,0.0492666,-0.007596254,-0.083168,0.0242333,-0.002902985,-0.057022,,0.096182661,,,,,,,,,,,,
106,,-0.7650768,-0.007596254,-2.945355,-0.7831316,-0.007596254,-2.942172,-0.766627,-0.006052971,-2.909015,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0150768,-0.007596254,-0.095355,-0.0331316,-0.007596254,-0.092172,-0.016627,-0.006052971,-0.059015,,0.096837952,,,,,,,,,,,,
92,,-0.8165112,-0.03015381,-2.914323,-0.826153,-0.03015381,-2.902832,-0.8131593,-0.01820469,-2.899586,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0665112,-0.03015381,-0.064323,-0.076153,-0.03015381,-0.052832,-0.0631593,-0.01820469,-0.049586,,0.097316187,,,,,,,,,,,,
161,,-0.682525,-0.01703721,-2.919768,-0.6919649,-0.01703721,-2.931425,-0.6988592,-0.003464222,-2.879512,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.067475,-0.01703721,-0.069768,0.0580351,-0.01703721,-0.081425,0.0511408,-0.003464222,-0.029512,,0.098542965,,,,,,,,,,,,
131,,-0.7119389,-0.01703721,-2.940264,-0.7254208,-0.01703721,-2.946839,-0.7192999,-0.01493573,-2.902976,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0380611,-0.01703721,-0.090264,0.0245792,-0.01703721,-0.096839,0.0307001,-0.01493573,-0.052976,,0.099430898,,,,,,,,,,,,
160,,-0.8022521,-0.007596254,-2.934385,-0.8168937,-0.007596254,-2.923351,-0.7976962,-0.004033327,-2.888231,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0522521,-0.007596254,-0.084385,-0.0668937,-0.007596254,-0.073351,-0.0476962,-0.004033327,-0.038231,,0.099543022,,,,,,,,,,,,
126,,-0.801034,-0.03015381,-2.932023,-0.8145176,-0.03015381,-2.922226,-0.789905,-0.0221777,-2.919335,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.051034,-0.03015381,-0.082023,-0.0645176,-0.03015381,-0.072226,-0.039905,-0.0221777,-0.069335,,0.101200267,,,,,,,,,,,,
112,,-0.7680517,-0.03015381,-2.945317,-0.7517493,-0.03015381,-2.948782,-0.7722398,-0.02258706,-2.914877,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0180517,-0.03015381,-0.095317,-0.0017493,-0.03015381,-0.098782,-0.0222398,-0.02258706,-0.064877,,0.101589599,,,,,,,,,,,,
178,,-0.7454837,-0.03015381,-2.737341,-0.7604746,-0.03015381,-2.736818,-0.7384706,-0.02207088,-2.706543,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0045163,-0.03015381,0.112659,-0.0104746,-0.03015381,0.113182,0.0115294,-0.02207088,0.143457,,0.116712037,,,,,,,,,,,,
132,,-0.7724717,-0.01703721,-2.734871,-0.7888852,-0.01703721,-2.737765,-0.7685606,-0.01834106,-2.717292,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0224717,-0.01703721,0.115129,-0.0388852,-0.01703721,0.112235,-0.0185606,-0.01834106,0.132708,,0.118532403,,,,,,,,,,,,
162,,-0.6569105,-0.007596254,-2.775319,-0.6464907,-0.007596254,-2.786109,-0.6731718,-0.005321026,-2.747041,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,0.0930895,-0.007596254,0.074681,0.1035093,-0.007596254,0.063891,0.0768282,-0.005321026,0.102959,,0.119585157,,,,,,,,,,,,
133,,-0.7387212,-0.03015381,-2.7335,-0.7204576,-0.03015381,-2.735097,-0.7445739,-0.03196454,-2.691676,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0112788,-0.03015381,0.1165,0.0295424,-0.03015381,0.114903,0.0054261,-0.03196454,0.158324,,0.120866511,,,,,,,,,,,,
130,,-0.84617,-0.007596254,-2.775557,-0.8584374,-0.007596254,-2.789181,-0.8366412,-0.01728129,-2.757931,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.09617,-0.007596254,0.074443,-0.1084374,-0.007596254,0.060819,-0.0866412,-0.01728129,0.092069,,0.121852912,,,,,,,,,,,,
83,,-0.7387212,-0.007596254,-2.728759,-0.722118,-0.007596254,-2.730211,-0.7463301,-0.01747942,-2.72052,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0112788,-0.007596254,0.121241,0.027882,-0.007596254,0.119789,0.0036699,-0.01747942,0.12948,,0.122001207,,,,,,,,,,,,
