Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relcolly,relcollz,,targetradius,,,,,,,,,,,,,,,,,
45,,-0.8084889,-0.007596254,-2.700835,-0.8225843,-0.007596254,-2.705966,-0.8055574,-0.02154684,-2.705778,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0584889,-0.007596254,0.149165,-0.0725843,-0.007596254,0.144034,-0.0555574,-0.02154684,0.144222,,0.174924878,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
46,,-0.7880611,-0.03015381,-2.939642,-0.7745792,-0.03015381,-2.946218,-0.7907076,-0.01788807,-2.921383,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0380611,-0.03015381,-0.089642,-0.0245792,-0.03015381,-0.096218,-0.0407076,-0.01788807,-0.071383,,0.093695984,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
47,,-0.7028632,-0.007596254,-2.697681,-0.6884443,-0.007596254,-2.701816,-0.6991415,-0.0356102,-2.677898,LargeOverlap(Clone) (UnityEngine.GameObject),0.0471368,-0.007596254,0.152319,0.0615557,-0.007596254,0.148184,0.0508585,-0.0356102,0.172102,,0.167064765,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
48,,-0.9178681,-0.01703721,-2.829795,-0.9207303,-0.01703721,-2.84452,-0.8967971,-0.02817798,-2.804864,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1678681,-0.01703721,0.020205,-0.1707303,-0.01703721,0.00548,-0.1467971,-0.02817798,0.045136,,0.095871786,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
49,,-0.8147048,-0.007596254,-2.974713,-0.8276951,-0.007596254,-2.967213,-0.8084006,-0.00805831,-2.941146,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0647048,-0.007596254,-0.124713,-0.0776951,-0.007596254,-0.117213,-0.0584006,-0.00805831,-0.091146,,0.16946376,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
50,,-0.8709224,-0.03015381,-2.742224,-0.8603158,-0.03015381,-2.731618,-0.8592063,-0.04535747,-2.738146,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1209224,-0.03015381,0.107776,-0.1103158,-0.03015381,0.118382,-0.1092063,-0.04535747,0.111854,,0.175536474,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
51,,-0.8028451,-0.03015381,-3.026032,-0.7885792,-0.03015381,-3.030667,-0.798808,-0.02153707,-2.993555,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0528451,-0.03015381,-0.176032,-0.0385792,-0.03015381,-0.180667,-0.048808,-0.02153707,-0.143555,,0.166988999,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
52,,-0.9106969,-0.01703721,-2.804984,-0.9158272,-0.01703721,-2.819079,-0.8929247,-0.03088713,-2.787232,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1606969,-0.01703721,0.045016,-0.1658272,-0.01703721,0.030921,-0.1429247,-0.03088713,0.062768,,0.089087183,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
53,,-0.8533511,-0.03015381,-2.785664,-0.8623783,-0.03015381,-2.797644,-0.8337895,-0.0386548,-2.778794,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1033511,-0.03015381,0.064336,-0.1123783,-0.03015381,0.052356,-0.0837895,-0.0386548,0.071206,,0.173121163,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
54,,-0.8431388,-0.03015381,-3.007049,-0.8305587,-0.03015381,-3.015219,-0.8499241,-0.02494884,-2.976603,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0931388,-0.03015381,-0.157049,-0.0805587,-0.03015381,-0.165219,-0.0999241,-0.02494884,-0.126603,,0.09186913,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
