Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
57,,-0.6654012,-0.01703721,-2.835198,-0.6620269,-0.01703721,-2.849814,-0.6729869,-0.02321577,-2.826252,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0845988,-0.01703721,0.014802,0.0879731,-0.01703721,0.000186,0.0770131,-0.02321577,0.023748,,0.087557539
127,,-0.8363485,-0.01703721,-2.850795,-0.8347806,-0.01703721,-2.835877,-0.8368201,-0.02520037,-2.839071,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0863485,-0.01703721,-0.000795,-0.0847806,-0.01703721,0.014123,-0.0868201,-0.02520037,0.010929,,0.088016828
105,,-0.8349268,-0.007596254,-2.876199,-0.8380455,-0.007596254,-2.861527,-0.8401927,-0.01647282,-2.867652,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0849268,-0.007596254,-0.026199,-0.0880455,-0.007596254,-0.011527,-0.0901927,-0.01647282,-0.017652,,0.089200067
72,,-0.7275283,-0.01703721,-2.939666,-0.7420171,-0.01703721,-2.943548,-0.7277114,-0.01413012,-2.91962,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0224717,-0.01703721,-0.089666,0.0079829,-0.01703721,-0.093548,0.0222886,-0.01413012,-0.06962,,0.093995933
103,,-0.6834889,-0.03015381,-2.913822,-0.6738471,-0.03015381,-2.902331,-0.6980503,-0.02985334,-2.892183,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0665111,-0.03015381,-0.063822,0.0761529,-0.03015381,-0.052331,0.0519497,-0.02985334,-0.042183,,0.096985702
148,,-0.7960098,-0.01703721,-2.935034,-0.8087305,-0.01703721,-2.927085,-0.7904702,-0.02844644,-2.911242,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0460098,-0.01703721,-0.085034,-0.0587305,-0.01703721,-0.077085,-0.0404702,-0.02844644,-0.061242,,0.098173058
177,,-0.7590756,-0.01703721,-2.94981,-0.7773085,-0.01703721,-2.947894,-0.7655359,-0.0306952,-2.915133,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0090756,-0.01703721,-0.09981,-0.0273085,-0.01703721,-0.097894,-0.0155359,-0.0306952,-0.065133,,0.101659575
156,,-0.7119389,-0.03015381,-2.940031,-0.7284167,-0.03015381,-2.948067,-0.7036407,-0.03740382,-2.913709,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0380611,-0.03015381,-0.090031,0.0215833,-0.03015381,-0.098067,0.0463593,-0.03740382,-0.063709,,0.102291156
140,,-0.8147048,-0.01703721,-2.74874,-0.8305819,-0.01703721,-2.757907,-0.7960698,-0.02594018,-2.726404,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0647048,-0.01703721,0.10126,-0.0805819,-0.01703721,0.092093,-0.0460698,-0.02594018,0.123596,,0.12136954
108,,-0.7791108,-0.007596254,-2.732272,-0.7612473,-0.007596254,-2.728148,-0.7777038,-0.02501154,-2.715071,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0291108,-0.007596254,0.117728,-0.0112473,-0.007596254,0.121852,-0.0277038,-0.02501154,0.134929,,0.121511414
63,,-0.718693,-0.01703721,-2.729591,-0.7009043,-0.01703721,-2.734026,-0.7231364,-0.01683807,-2.728448,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.031307,-0.01703721,0.120409,0.0490957,-0.01703721,0.115974,0.0268636,-0.01683807,0.121552,,0.125573572
125,,-0.6685599,-0.03015381,-2.759162,-0.6828076,-0.03015381,-2.747625,-0.6743083,-0.03630066,-2.739929,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0814401,-0.03015381,0.090838,0.0671924,-0.03015381,0.102375,0.0756917,-0.03630066,0.110071,,0.125671335
79,,-0.873755,-0.01703721,-2.818456,-0.8791151,-0.01703721,-2.835989,-0.8656819,-0.01119757,-2.81275,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.123755,-0.01703721,0.031544,-0.1291151,-0.01703721,0.014011,-0.1156819,-0.01119757,0.03725,,0.128843279
24,,-0.7856701,-0.03015381,-2.728025,-0.8032932,-0.03015381,-2.733079,-0.7825317,0.008357048,-2.705197,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0356701,-0.03015381,0.121975,-0.0532932,-0.03015381,0.116921,-0.0325317,0.008357048,0.144803,,0.130612055
65,,-0.8743964,-0.03015381,-2.819635,-0.8794498,-0.03015381,-2.837258,-0.8585783,-0.03915572,-2.809353,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.1243964,-0.03015381,0.030365,-0.1294498,-0.03015381,0.012742,-0.1085783,-0.03915572,0.040647,,0.13155132
28,,-0.8005643,-0.007596254,-2.971821,-0.8174403,-0.007596254,-2.964657,-0.8062812,0.01138377,-2.978907,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0505643,-0.007596254,-0.121821,-0.0674403,-0.007596254,-0.114657,-0.0562812,0.01138377,-0.128907,,0.132116644
92,,-0.8708142,-0.007596254,-2.903603,-0.8642441,-0.007596254,-2.920719,-0.8629746,-0.009078503,-2.876702,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.1208142,-0.007596254,-0.053603,-0.1142441,-0.007596254,-0.070719,-0.1129746,-0.009078503,-0.026702,,0.132389787
40,,-0.7432272,-0.007596254,-2.982768,-0.7615354,-0.007596254,-2.983727,-0.7445061,-0.0030303,-2.965025,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0067728,-0.007596254,-0.132768,-0.0115354,-0.007596254,-0.133727,0.0054939,-0.0030303,-0.115025,,0.133157485
58,,-0.8349003,-0.007596254,-2.952467,-0.821064,-0.007596254,-2.964495,-0.8484908,0.009101152,-2.936178,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0849003,-0.007596254,-0.102467,-0.071064,-0.007596254,-0.114495,-0.0984908,0.009101152,-0.086178,,0.133286346
6,,-0.7078684,-0.03015381,-2.973428,-0.7252029,-0.03015381,-2.979397,-0.708752,0.01629305,-2.963315,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0421316,-0.03015381,-0.123428,0.0247971,-0.03015381,-0.129397,0.041248,0.01629305,-0.113315,,0.133861104
178,,-0.6276408,-0.007596254,-2.905662,-0.6336096,-0.007596254,-2.922997,-0.6115389,0.01527929,-2.870008,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.1223592,-0.007596254,-0.055662,0.1163904,-0.007596254,-0.072997,0.1384611,0.01527929,-0.020008,,0.134639278
84,,-0.8365919,-0.007596254,-2.95282,-0.8229676,-0.007596254,-2.965087,-0.8505771,-0.002227783,-2.952353,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0865919,-0.007596254,-0.10282,-0.0729676,-0.007596254,-0.115087,-0.1005771,-0.002227783,-0.102353,,0.134639566
81,,-0.7746925,-0.01703721,-2.983468,-0.792689,-0.01703721,-2.97997,-0.77176,-0.01660275,-2.965719,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0246925,-0.01703721,-0.133468,-0.042689,-0.01703721,-0.12997,-0.02176,-0.01660275,-0.115719,,0.136798001
