targetx,targety,targetz,penaltyx,penaltyy,pealtyz,collx,colly,collz,,targetxrel,targetyrel,targetzrel,penxrel,penyrel,penzrel,collxrel,collyrel,collzrel,,,,,,,,
-0.8046402,-0.03015381,-2.930553,-0.7903925,-0.03015381,-2.94209,-0.7990842,-0.02182651,-2.908904,,-0.0046402,-0.03015381,-0.030553,0.0096075,-0.03015381,-0.04209,0.0009158,-0.02182651,-0.008904,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5873597,-0.01703721,-2.811165,-0.5816944,-0.01703721,-2.828601,-0.6029501,-0.0114224,-2.784335,,0.2126403,-0.01703721,0.088835,0.2183056,-0.01703721,0.071399,0.1970499,-0.0114224,0.115665,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6283948,-0.01703721,-2.908343,-0.6346653,-0.01703721,-2.92557,-0.6310652,-0.01644087,-2.870495,,0.1716052,-0.01703721,-0.008343,0.1653347,-0.01703721,-0.02557,0.1689348,-0.01644087,0.029505,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8087507,-0.01703721,-2.979461,-0.7924156,-0.01703721,-2.987784,-0.8029192,-0.02367163,-2.946359,,-0.0087507,-0.01703721,-0.079461,0.0075844,-0.01703721,-0.087784,-0.0029192,-0.02367163,-0.046359,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6953092,-0.03015381,-2.981581,-0.6786935,-0.03015381,-2.973833,-0.6990458,-0.02125144,-2.956661,,0.1046908,-0.03015381,-0.081581,0.1213065,-0.03015381,-0.073833,0.1009542,-0.02125144,-0.056661,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9045085,-0.01703721,-2.374557,-0.8886575,-0.01703721,-2.369407,-0.7362329,0.1399765,-2.843427,,-0.1045085,-0.01703721,0.525443,-0.0886575,-0.01703721,0.530593,0.0637671,0.1399765,0.056573,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6423799,-0.03015381,-2.983248,-0.6553323,-0.03015381,-2.993737,-0.6438355,-0.02166843,-2.969257,,0.1576201,-0.03015381,-0.083248,0.1446677,-0.03015381,-0.093737,0.1561645,-0.02166843,-0.069257,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8476666,-0.01703721,-2.935675,-0.8367323,-0.01703721,-2.948253,-0.8413339,-0.02638841,-2.932282,,-0.0476666,-0.01703721,-0.035675,-0.0367323,-0.01703721,-0.048253,-0.0413339,-0.02638841,-0.032282,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8107541,-0.01703721,-2.73675,-0.7960383,-0.01703721,-2.728926,-0.8123353,-0.004392147,-2.73476,,-0.0107541,-0.01703721,0.16325,0.0039617,-0.01703721,0.171074,-0.0123353,-0.004392147,0.16524,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.875,-0.03015381,-2.817599,-0.8706864,-0.03015381,-2.8015,-0.8715501,-0.02968526,-2.814349,,-0.075,-0.03015381,0.082401,-0.0706864,-0.03015381,0.0985,-0.0715501,-0.02968526,0.085651,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.9037029,-0.03015381,-2.926552,-0.8963967,-0.03015381,-2.941532,-0.901286,-0.02833152,-2.912036,,-0.1037029,-0.03015381,-0.026552,-0.0963967,-0.03015381,-0.041532,-0.101286,-0.02833152,-0.012036,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8184183,-0.007596254,-2.798692,-0.8081573,-0.007596254,-2.785558,-0.8138666,-0.01017046,-2.806739,,-0.0184183,-0.007596254,0.101308,-0.0081573,-0.007596254,0.114442,-0.0138666,-0.01017046,0.093261,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7985514,-0.03015381,-2.780325,-0.8123688,-0.03015381,-2.789645,-0.7989985,-0.01948547,-2.766108,,0.0014486,-0.03015381,0.119675,-0.0123688,-0.03015381,0.110355,0.0010015,-0.01948547,0.133892,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7894173,-0.03015381,-2.775314,-0.8042674,-0.03015381,-2.782881,-0.7816346,-0.02150822,-2.778511,,0.0105827,-0.03015381,0.124686,-0.0042674,-0.03015381,0.117119,0.0183654,-0.02150822,0.121489,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7079068,-0.03015381,-2.928903,-0.6933299,-0.03015381,-2.920822,-0.7184323,-0.02252841,-2.920172,,0.0920932,-0.03015381,-0.028903,0.1066701,-0.03015381,-0.020822,0.0815677,-0.02252841,-0.020172,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8865747,-0.03015381,-2.750257,-0.8765445,-0.03015381,-2.736946,-0.8739082,-0.02566075,-2.749195,,-0.0865747,-0.03015381,0.149743,-0.0765445,-0.03015381,0.163054,-0.0739082,-0.02566075,0.150805,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6670927,-0.03015381,-3.002835,-0.6525157,-0.03015381,-2.994754,-0.6755816,-0.02409458,-2.98636,,0.1329073,-0.03015381,-0.102835,0.1474843,-0.03015381,-0.094754,0.1244184,-0.02409458,-0.08636,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6788778,-0.03015381,-2.804079,-0.6693182,-0.03015381,-2.817732,-0.6921114,-0.02575302,-2.803588,,0.1211222,-0.03015381,0.095921,0.1306818,-0.03015381,0.082268,0.1078886,-0.02575302,0.096412,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.828037,-0.03015381,-2.892189,-0.8353432,-0.03015381,-2.877209,-0.8188674,-0.02310109,-2.880055,,-0.028037,-0.03015381,0.007811,-0.0353432,-0.03015381,0.022791,-0.0188674,-0.02310109,0.019945,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6887155,-0.007596254,-2.694849,-0.7042751,-0.007596254,-2.688876,-0.6893101,-0.02608037,-2.695959,,0.1112845,-0.007596254,0.205151,0.0957249,-0.007596254,0.211124,0.1106899,-0.02608037,0.204041,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6854771,-0.03015381,-2.796483,-0.674325,-0.03015381,-2.808868,-0.691152,-0.01978397,-2.780301,,0.1145229,-0.03015381,0.103517,0.125675,-0.03015381,0.091132,0.108848,-0.01978397,0.119699,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6584936,-0.01703721,-2.763597,-0.6467085,-0.01703721,-2.775382,-0.6638139,-0.008836985,-2.747396,,0.1415064,-0.01703721,0.136403,0.1532915,-0.01703721,0.124618,0.1361861,-0.008836985,0.152604,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject)
