Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
71,,-0.6788778,-0.03015381,-2.904922,-0.6683623,-0.03015381,-2.889904,-0.6910032,-0.03267384,-2.898546,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0711222,-0.03015381,-0.054922,0.0816377,-0.03015381,-0.039904,0.0589968,-0.03267384,-0.048546,,0.094784206
46,,-0.754544,-0.03015381,-2.940023,-0.7728522,-0.03015381,-2.939064,-0.7645728,-0.02856159,-2.924154,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.004544,-0.03015381,-0.090023,-0.0228522,-0.03015381,-0.089064,-0.0145728,-0.02856159,-0.074154,,0.095047571
127,,-0.706588,-0.007596254,-2.934475,-0.7210217,-0.007596254,-2.942808,-0.7005873,-0.02028298,-2.912735,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.043412,-0.007596254,-0.084475,0.0289783,-0.007596254,-0.092808,0.0494127,-0.02028298,-0.062735,,0.095280273
107,,-0.6726391,-0.03015381,-2.897118,-0.6802056,-0.03015381,-2.911968,-0.6706206,-0.03343844,-2.879943,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0773609,-0.03015381,-0.047118,0.0697944,-0.03015381,-0.061968,0.0793794,-0.03343844,-0.029943,,0.095467623
114,,-0.7105827,-0.01703721,-2.935597,-0.6957326,-0.01703721,-2.928031,-0.7182423,-0.02494192,-2.908062,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0394173,-0.01703721,-0.085597,0.0542674,-0.01703721,-0.078031,0.0317577,-0.02494192,-0.058062,,0.095764484
159,,-0.8058094,-0.007596254,-2.928252,-0.8198536,-0.007596254,-2.916467,-0.810545,-0.0121057,-2.902988,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0558094,-0.007596254,-0.078252,-0.0698536,-0.007596254,-0.066467,-0.060545,-0.0121057,-0.052988,,0.096414562
79,,-0.773932,-0.03015381,-2.939171,-0.7915551,-0.03015381,-2.934118,-0.7748102,-0.036515,-2.920593,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.023932,-0.03015381,-0.089171,-0.0415551,-0.03015381,-0.084118,-0.0248102,-0.036515,-0.070593,,0.097126001
164,,-0.793412,-0.007596254,-2.937309,-0.7789783,-0.007596254,-2.945642,-0.7989712,-0.0124228,-2.909709,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.043412,-0.007596254,-0.087309,-0.0289783,-0.007596254,-0.095642,-0.0489712,-0.0124228,-0.059709,,0.097801668
100,,-0.7188851,-0.03015381,-2.938253,-0.7328888,-0.03015381,-2.943629,-0.7235792,-0.04246187,-2.91886,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0311149,-0.03015381,-0.088253,0.0171112,-0.03015381,-0.093629,0.0264208,-0.04246187,-0.06886,,0.098315722
173,,-0.7424328,-0.01703721,-2.949244,-0.759036,-0.01703721,-2.950697,-0.7452052,-0.03112793,-2.926625,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0075672,-0.01703721,-0.099244,-0.009036,-0.01703721,-0.100697,0.0047948,-0.03112793,-0.076625,,0.100979704
160,,-0.6977479,-0.03015381,-2.931152,-0.6831063,-0.03015381,-2.920119,-0.6984816,-0.02334857,-2.917784,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0522521,-0.03015381,-0.081152,0.0668937,-0.03015381,-0.070119,0.0515184,-0.02334857,-0.067784,,0.101119639
156,,-0.7027122,-0.03015381,-2.934344,-0.6887344,-0.03015381,-2.925267,-0.704729,-0.0344696,-2.914604,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0472878,-0.03015381,-0.084344,0.0612656,-0.03015381,-0.075267,0.045271,-0.0344696,-0.064604,,0.101288196
143,,-0.7188851,-0.03015381,-2.941588,-0.7360007,-0.03015381,-2.948159,-0.7242982,-0.02817249,-2.908064,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0311149,-0.03015381,-0.091588,0.0139993,-0.03015381,-0.098159,0.0257018,-0.02817249,-0.058064,,0.101320042
168,,-0.7880611,-0.03015381,-2.940432,-0.7730812,-0.03015381,-2.947738,-0.7893382,-0.02046132,-2.903394,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0380611,-0.03015381,-0.090432,-0.0230812,-0.03015381,-0.097738,-0.0393382,-0.02046132,-0.053394,,0.10264427
175,,-0.7680517,-0.03015381,-2.94783,-0.7533795,-0.03015381,-2.950949,-0.7743099,-0.03597927,-2.91831,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0180517,-0.03015381,-0.09783,-0.0033795,-0.03015381,-0.100949,-0.0243099,-0.03597927,-0.06831,,0.10395107
154,,-0.6703275,-0.007596254,-2.759399,-0.6558807,-0.007596254,-2.770686,-0.6835968,-0.02162266,-2.736173,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0796725,-0.007596254,0.090601,0.0941193,-0.007596254,0.079314,0.0664032,-0.02162266,0.113827,,0.120888178
124,,-0.736473,-0.01703721,-2.730356,-0.7215552,-0.01703721,-2.731924,-0.736338,-0.01087356,-2.713627,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.013527,-0.01703721,0.119644,0.0284448,-0.01703721,0.118076,0.013662,-0.01087356,0.136373,,0.121605645
118,,-0.6953092,-0.01703721,-2.741259,-0.7104143,-0.01703721,-2.734215,-0.7020798,-0.02755713,-2.724855,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0546908,-0.01703721,0.108741,0.0395857,-0.01703721,0.115785,0.0479202,-0.02755713,0.125145,,0.122906286
87,,-0.8046908,-0.01703721,-2.738997,-0.7895857,-0.01703721,-2.731954,-0.8083085,-0.02849555,-2.724008,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0546908,-0.01703721,0.111003,-0.0395857,-0.01703721,0.118046,-0.0583085,-0.02849555,0.125992,,0.124912034
57,,-0.7791108,-0.007596254,-2.728019,-0.7937263,-0.007596254,-2.731393,-0.7754254,0.001280785,-2.722441,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0291108,-0.007596254,0.121981,-0.0437263,-0.007596254,0.118607,-0.0254254,0.001280785,0.127559,,0.125636404
104,,-0.7165064,-0.03015381,-2.732488,-0.7004076,-0.03015381,-2.736801,-0.7215319,-0.03248572,-2.727916,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0334936,-0.03015381,0.117512,0.0495924,-0.03015381,0.113199,0.0284681,-0.03248572,0.122084,,0.125857632
174,,-0.6276409,-0.007596254,-2.820691,-0.6216722,-0.007596254,-2.838025,-0.6288373,-0.01881456,-2.790734,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.1223591,-0.007596254,0.029309,0.1283278,-0.007596254,0.011975,0.1211627,-0.01881456,0.059266,,0.126049474
158,,-0.8716052,-0.007596254,-2.817408,-0.8653348,-0.007596254,-2.800181,-0.8676334,-0.02121258,-2.801135,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.1216052,-0.007596254,0.032592,-0.1153348,-0.007596254,0.049819,-0.1176334,-0.02121258,0.048865,,0.126125993
