Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,Start Time,Overlap Type,Polar Angle,Elevation Angle,,,,,,,,,,,,
150,,-0.6896869,-0.01703721,-2.92434,-0.6776979,-0.01703721,-2.912762,-0.6885263,0.1268108,-2.881471,17:10:09,MediumOverlap(Clone) (UnityEngine.GameObject),5.480334,1.308997,,0.0603131,-0.01703721,-0.07434,0.0723021,-0.01703721,-0.062762,0.0614737,0.1268108,-0.031471,,0.097233596
86,,-0.6941906,-0.03015381,-2.923715,-0.6826999,-0.03015381,-2.914073,-0.6959665,-0.02460051,-2.887424,17:06:31,LargeOverlap(Clone) (UnityEngine.GameObject),5.410521,1.22173,,0.0558094,-0.03015381,-0.073715,0.0673001,-0.03015381,-0.064073,0.0540335,-0.02460051,-0.037424,,0.09725144
171,,-0.6694981,-0.03015381,-2.89596,-0.6763659,-0.03015381,-2.912958,-0.6735069,-0.02828145,-2.86314,17:11:21,SmallOverlap(Clone) (UnityEngine.GameObject),5.899213,1.22173,,0.0805019,-0.03015381,-0.04596,0.0736341,-0.03015381,-0.062958,0.0764931,-0.02828145,-0.01314,,0.097478868
73,,-0.7484847,-0.03015381,-2.943063,-0.7651489,-0.03015381,-2.943354,-0.7537022,0.1454141,-2.95543,17:05:47,MediumOverlap(Clone) (UnityEngine.GameObject),4.729842,1.22173,,0.0015153,-0.03015381,-0.093063,-0.0151489,-0.03015381,-0.093354,-0.0037022,0.1454141,-0.10543,,0.09783798
164,,-0.671963,-0.03015381,-2.900983,-0.6792691,-0.03015381,-2.915962,-0.6789527,-0.02908421,-2.868349,17:10:57,MediumOverlap(Clone) (UnityEngine.GameObject),5.8294,1.22173,,0.078037,-0.03015381,-0.050983,0.0707309,-0.03015381,-0.065962,0.0710473,-0.02908421,-0.018349,,0.097970873
108,,-0.7133065,-0.03015381,-2.937517,-0.7269012,-0.03015381,-2.943856,-0.723814,-0.01583457,-2.90881,17:07:47,LargeOverlap(Clone) (UnityEngine.GameObject),5.148721,1.22173,,0.0366935,-0.03015381,-0.087517,0.0230988,-0.03015381,-0.093856,0.026186,-0.01583457,-0.05881,,0.099573543
159,,-0.7880611,-0.01703721,-2.940586,-0.803041,-0.01703721,-2.93328,-0.7862174,-0.02315664,-2.908636,17:10:40,MediumOverlap(Clone) (UnityEngine.GameObject),4.258604,1.308997,,-0.0380611,-0.01703721,-0.090586,-0.053041,-0.01703721,-0.08328,-0.0362174,-0.02315664,-0.058636,,0.099723303
137,,-0.7575672,-0.03015381,-2.947434,-0.7758308,-0.03015381,-2.945837,-0.7851784,0.1279123,-2.966076,17:09:25,SmallOverlap(Clone) (UnityEngine.GameObject),4.625123,1.22173,,-0.0075672,-0.03015381,-0.097434,-0.0258308,-0.03015381,-0.095837,-0.0351784,0.1279123,-0.116076,,0.102273648
180,,-0.75,-0.01703721,-2.73471,-0.7666667,-0.01703721,-2.73471,-0.7574345,0.1000059,-2.657792,17:11:53,MediumOverlap(Clone) (UnityEngine.GameObject),1.570796,1.308997,,0,-0.01703721,0.11529,-0.0166667,-0.01703721,0.11529,-0.0074345,0.1000059,0.192208,,0.116542055
166,,-0.7253075,-0.01703721,-2.736026,-0.7400319,-0.01703721,-2.733164,-0.7422575,0.1091864,-2.677297,17:11:04,LargeOverlap(Clone) (UnityEngine.GameObject),1.37881,1.308997,,0.0246925,-0.01703721,0.113974,0.0099681,-0.01703721,0.116836,0.0077425,0.1091864,0.172703,,0.117856093
160,,-0.7297559,-0.01703721,-2.73481,-0.7149405,-0.01703721,-2.737157,-0.736931,-0.01418757,-2.704244,17:10:44,LargeOverlap(Clone) (UnityEngine.GameObject),1.413717,1.308997,,0.0202441,-0.01703721,0.11519,0.0350595,-0.01703721,0.112843,0.013069,-0.01418757,0.145756,,0.118189789
152,,-0.8067294,-0.007596254,-2.74572,-0.7917495,-0.007596254,-2.738414,-0.7888325,-0.01001859,-2.714848,17:10:16,MediumOverlap(Clone) (UnityEngine.GameObject),2.024582,1.396263,,-0.0567294,-0.007596254,0.10428,-0.0417495,-0.007596254,0.111586,-0.0388325,-0.01001859,0.135152,,0.118954808
161,,-0.6601046,-0.007596254,-2.769607,-0.6732925,-0.007596254,-2.756871,-0.6643914,-0.01831937,-2.739533,17:10:47,SmallOverlap(Clone) (UnityEngine.GameObject),0.8028514,1.396263,,0.0898954,-0.007596254,0.080393,0.0767075,-0.007596254,0.093129,0.0856086,-0.01831937,0.110467,,0.120838406
69,,-0.7230942,-0.007596254,-2.729385,-0.7051615,-0.007596254,-2.733197,-0.7285851,0.107599,-2.690719,17:05:33,SmallOverlap(Clone) (UnityEngine.GameObject),1.361357,1.396263,,0.0269058,-0.007596254,0.120615,0.0448385,-0.007596254,0.116803,0.0214149,0.107599,0.159281,,0.123812775
80,,-0.8185766,-0.007596254,-2.747011,-0.8030291,-0.007596254,-2.737296,-0.8207119,-0.02777433,-2.725908,17:06:10,SmallOverlap(Clone) (UnityEngine.GameObject),2.129302,1.396263,,-0.0685766,-0.007596254,0.102989,-0.0530291,-0.007596254,0.112704,-0.0707119,-0.02777433,0.124092,,0.12396446
158,,-0.8663125,-0.007596254,-2.805745,-0.8736187,-0.007596254,-2.820724,-0.860801,-0.002227783,-2.770344,17:10:36,MediumOverlap(Clone) (UnityEngine.GameObject),2.687807,1.396263,,-0.1163125,-0.007596254,0.044255,-0.1236187,-0.007596254,0.029276,-0.110801,-0.002227783,0.079656,,0.12467881
